Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
West Indies,580,163.33333333333334,3.55,580,1,draw,Sri Lanka,Galle,2010-11-15,1,9
South Africa,580,139.0,4.17,580,1,won,Sri Lanka,Cape Town,2012-01-03,1,4
Australia,580,157.66666666666666,3.67,340,2,won,Pakistan,Brisbane,2019-11-21,0,10
Pakistan,579,155.5,3.72,579,1,won,West Indies,Dubai (DSC),2016-10-13,1,3
New Zealand,578,157.5,3.66,296,2,draw,Sri Lanka,Wellington,2018-12-15,0,10
England,578,190.16666666666663,3.03,578,1,won,India,Chennai,2021-02-05,0,10
Sri Lanka,577,135.83333333333334,4.24,488,2,won,Bangladesh,Colombo (SSC),2007-06-25,1,6
Australia,577,179.5,3.21,-36,2,draw,India,Delhi,2008-10-29,0,10
Australia,576,129.66666666666666,4.44,282,2,won,England,Birmingham,2001-07-05,0,10
Australia,576,132.83333333333334,4.33,576,1,won,West Indies,Port of Spain,2003-04-19,1,4
New Zealand,576,166.83333333333334,3.45,412,2,won,Zimbabwe,Bulawayo,2016-07-28,1,6
Australia,575,139.16666666666666,4.13,208,2,won,Pakistan,Brisbane,1999-11-05,0,10
Australia,575,155.33333333333334,3.7,575,1,won,New Zealand,Adelaide,2004-11-26,1,8
England,575,130.5,4.4,575,1,draw,Sri Lanka,Lord's,2014-06-12,1,9
Australia,574,170.83333333333334,3.36,574,1,tied,India,Chennai,1986-09-18,1,7
England,574,170.0,3.37,231,2,won,South Africa,Durban,2009-12-26,1,9
South Africa,573,120.0,4.77,573,1,won,Bangladesh,Bloemfontein,2017-10-06,1,4
South Africa,572,209.33333333333331,2.73,362,3,draw,England,Durban,1999-12-26,0,7
India,572,154.5,3.7,192,2,won,Australia,Chennai,2013-02-22,0,10
Australia,572,152.5,3.75,572,1,draw,India,Sydney,2015-01-06,1,7
Pakistan,571,210.0,2.71,95,2,draw,New Zealand,Christchurch,2001-03-15,1,8
India,570,184.83333333333331,3.08,283,2,won,Zimbabwe,Nagpur,2002-02-21,1,7
England,570,172.5,3.3,377,3,draw,South Africa,Durban,2004-12-26,1,7
Australia,570,140.0,4.07,570,1,draw,New Zealand,Wellington,2005-03-18,1,8
Pakistan,570,167.83333333333334,3.39,570,1,won,India,Bengaluru,2005-03-24,0,10
England,570,122.5,4.65,570,1,won,West Indies,Leeds,2007-05-25,1,7
Sri Lanka,570,135.0,4.22,570,1,draw,Bangladesh,Galle,2013-03-08,1,4
Australia,570,158.0,3.6,570,1,won,England,Adelaide,2013-12-05,1,9
Pakistan,570,164.0,3.47,570,1,won,Australia,Abu Dhabi,2014-10-30,1,6
West Indies,569,153.83333333333334,3.69,221,2,won,Australia,Georgetown,1991-03-23,0,10
England,569,147.0,3.87,569,1,won,West Indies,Chester-le-Street,2009-05-14,1,6
South Africa,569,111.83333333333331,5.08,631,3,won,Australia,Perth,2012-11-30,0,10
England,569,163.66666666666666,3.47,569,1,won,India,Southampton,2014-07-27,1,7
England,568,121.66666666666669,4.66,568,1,won,West Indies,Lord's,2004-07-22,0,10
Australia,568,133.5,4.25,264,2,won,Pakistan,Sydney,2005-01-02,0,10
England,567,174.66666666666666,3.24,316,2,won,New Zealand,Nottingham,1994-06-02,1,8
England,566,134.0,4.22,566,1,won,West Indies,Birmingham,2004-07-29,1,9
England,566,165.33333333333334,3.42,566,1,draw,West Indies,St John's,2009-02-15,1,9
India,566,165.0,3.43,373,2,won,New Zealand,Nagpur,2010-11-20,1,8
Pakistan,566,170.83333333333334,3.31,566,1,won,New Zealand,Abu Dhabi,2014-11-09,1,3
Australia,566,149.0,3.79,566,1,won,England,Lord's,2015-07-16,1,8
India,566,161.83333333333334,3.49,566,1,won,West Indies,North Sound,2016-07-21,1,8
India,565,172.33333333333334,3.27,35,2,draw,West Indies,Eden Gardens,1987-12-26,0,10
Australia,565,138.0,4.09,115,2,draw,South Africa,Brisbane,2012-11-09,1,5
England,564,198.83333333333331,2.83,43,2,draw,India,Nottingham,1996-07-04,0,10
Zimbabwe,563,167.0,3.37,347,3,draw,West Indies,Harare,2001-07-27,1,9
South Africa,563,143.0,3.93,184,2,won,India,Bloemfontein,2001-11-03,0,10
New Zealand,563,151.33333333333334,3.72,563,1,draw,Pakistan,Hamilton,2003-12-19,0,10
Australia,563,181.0,3.11,37,2,draw,India,Adelaide,2008-01-24,0,10
Australia,562,154.33333333333334,3.64,379,2,won,New Zealand,Wellington,2016-02-12,0,10
South Africa,561,148.66666666666666,3.77,561,1,won,West Indies,Johannesburg,2003-12-12,0,10
New Zealand,561,159.16666666666666,3.52,561,1,draw,Sri Lanka,Napier,2005-04-04,0,10
India,560,165.0,3.39,560,1,won,England,Chennai,1993-02-11,1,6
Bangladesh,560,154.0,3.63,295,2,won,Zimbabwe,Mirpur,2020-02-22,1,6
West Indies,559,168.0,3.32,404,2,won,Zimbabwe,Bulawayo,2001-07-19,1,6
West Indies,559,151.0,3.7,275,2,won,Bangladesh,Kingston,2004-06-04,1,4
Australia,559,133.0,4.2,559,1,draw,New Zealand,Perth,2015-11-13,1,9
Australia,558,124.0,4.5,558,1,draw,New Zealand,Hobart,2001-11-22,1,8
Australia,558,151.33333333333334,3.68,192,2,won,India,Melbourne,2003-12-26,0,10
South Africa,558,176.0,3.17,558,1,won,India,Nagpur,2010-02-06,1,6
Pakistan,557,152.0,3.66,557,1,won,Bangladesh,Mirpur,2015-05-06,1,8
India,557,169.0,3.29,557,1,won,New Zealand,Indore,2016-10-08,1,5
West Indies,556,153.5,3.62,234,2,won,England,Georgetown,1994-03-17,0,10
Australia,556,139.33333333333334,3.99,261,2,won,Bangladesh,Cairns,2003-07-25,1,4
Australia,556,127.0,4.37,556,1,lost,India,Adelaide,2003-12-12,0,10
South Africa,556,120.0,4.63,417,2,won,West Indies,Durban,2008-01-10,1,4
Bangladesh,556,148.5,3.74,29,2,lost,West Indies,Mirpur,2012-11-13,0,10
Australia,556,130.33333333333334,4.26,556,1,won,New Zealand,Brisbane,2015-11-05,1,4
Pakistan,555,162.83333333333334,3.4,76,2,draw,Sri Lanka,Faisalabad,1985-10-16,0,3
Sri Lanka,555,103.5,5.36,465,2,won,Bangladesh,Colombo (SSC),2001-09-06,1,5
Sri Lanka,555,169.0,3.28,555,1,draw,England,Lord's,2002-05-16,1,8
Bangladesh,555,136.0,4.08,259,3,draw,Pakistan,Khulna,2015-04-28,0,6
Pakistan,555,131.0,4.23,475,3,won,Sri Lanka,Karachi,2019-12-19,1,3
Australia,554,144.33333333333334,3.83,554,1,won,South Africa,Sydney,2002-01-02,0,10
India,554,151.5,3.65,275,2,won,Zimbabwe,Bulawayo,2005-09-13,0,10
India,553,165.0,3.35,553,1,draw,England,Kanpur,1985-01-31,1,8
New Zealand,553,161.0,3.43,374,2,won,Australia,Brisbane,1985-11-08,1,7
Pakistan,553,178.33333333333334,3.1,178,2,draw,Zimbabwe,Sheikhupura,1996-10-17,0,10
England,553,142.0,3.89,553,1,draw,West Indies,Lord's,2007-05-17,1,5
New Zealand,553,135.0,4.09,553,1,won,Bangladesh,Hamilton,2010-02-15,1,7
South Africa,552,199.83333333333331,2.76,552,1,draw,England,Manchester,1998-07-02,1,5
Australia,552,140.33333333333334,3.93,402,2,won,India,Sydney,2000-01-02,1,5
Australia,552,139.33333333333334,3.96,210,2,won,England,Adelaide,2002-11-21,1,9
South Africa,552,140.5,3.92,552,1,won,West Indies,Centurion,2014-12-17,1,5
Australia,551,146.0,3.77,551,1,won,England,Melbourne,2002-12-26,1,6
England,551,143.0,3.85,551,1,draw,Sri Lanka,Lord's,2006-05-11,1,6
England,551,168.0,3.27,551,1,lost,Australia,Adelaide,2006-12-01,1,6
Australia,551,151.0,3.64,551,1,won,Sri Lanka,Brisbane,2007-11-08,1,4
Pakistan,551,147.0,3.74,551,1,draw,Sri Lanka,Colombo (SSC),2012-06-30,1,6
Australia,551,135.0,4.08,551,1,won,West Indies,Melbourne,2015-12-26,1,3
Australia,550,107.33333333333331,5.12,550,1,draw,South Africa,Adelaide,2012-11-22,0,10
